"Pool Name","Status","Open Date","Weekday","Weekend","Closure Days","Pool Type","Phone","Location 1","Website"
"Reed","Closed","2025 Jun 07 12:00:00 AM","Closed for Season","Closed for Season",,"Neighborhood","512-542-9782","2614 Pecos St Austin TX  (30.303090361000045, -97.77087252699994)","Reed Pool (http://www.austintexas.gov/department/reed-pool)"
"Gillis","Closed","2025 Jun 09 12:00:00 AM","Closed for Season","Closed for Season",,"Neighborhood","512-974-9331","2410 Durwood Ave Austin TX  (30.239795595000032, -97.75878452399996)","Gillis Pool (http://www.austintexas.gov/department/gillis-pool)"
"Eastwoods Splashpad","Closed","2025 May 01 12:00:00 AM","Closed for Season","Closed for Season",,"Splash Pad","512-974-9331","3001 Harris Park Blvd Austin TX  (30.291143504000047, -97.73212589899998)","Eastwoods Splash Pad (http://www.austintexas.gov/department/eastwoods-splash-pad)"
"Parque Zaragoza","Closed","2025 Jun 09 12:00:00 AM","Closed for Season","Closed for Season",,"Neighborhood","512-243-5217","2611 Webberville Rd Austin TX  (30.262200781000047, -97.71307661199995)","Parque Zaragoza Pool (http://www.austintexas.gov/department/parque-zaragoza-pool)"
"Deep Eddy","Open","2023 Oct 01 12:00:00 AM","8:00AM-7:00PM","8:00AM-7:00PM","First Tuesday of the Month","Regional","512-472-8546","401 Deep Eddy Ave Austin TX  (30.277590365000037, -97.77288902099997)","http://www.austintexas.gov/department/deep-eddy-pool"
"Walnut Creek","Closed","2025 Apr 28 12:00:00 AM","Closed for Season","Closed for Season",,"Regional","512-834-0824","12138 N Lamar Blvd Austin TX  (30.398443986000075, -97.67950234099999)","http://www.austintexas.gov/department/walnut-creek-pool"
"Springwoods","Open","2023 Oct 01 12:00:00 AM","3:00PM-8:00PM","12:00PM-7:00PM","None","Regional","512-258-8082","13320 Lyndhurst St Austin TX 78729 (30.466694790000076, -97.78281477599995)","http://austintexas.gov/department/springwoods-pool"
"Metz","Closed","2025 Jun 09 12:00:00 AM","Closed for Season","Closed for Season",,"Neighborhood","512-391-6212","2309 Canterbury St Austin TX  (30.252683793000074, -97.71813028399998)","Metz Pool (http://www.austintexas.gov/department/metz-pool)"
"Lott Splashpad","Closed","2025 May 01 12:00:00 AM","Closed for Season","Closed for Season",,"Splash Pad","512-974-9331","1180 Curves Austin TX  (30.269695108000064, -97.73017088999995)","Lott Splash Pad (http://www.austintexas.gov/department/lott-splash-pad)"
"Civitan","Closed","2025 Jun 09 12:00:00 AM","Closed for Season","Closed for Season",,"Neighborhood","512-386-5743","513 Vargas Rd Austin TX  (30.237021979000076, -97.69142730499999)","Civitan Pool (http://www.austintexas.gov/department/civitan-pool)"
"Ricky Guerrero Splashpad","Closed","2025 May 01 12:00:00 AM","Closed for Season","Closed for Season",,"Splash Pad","512-974-9331","1100 Brodie Street Austin TX  (30.246923898000034, -97.76367140099995)","Ricky Guerrero Splash Pad (http://www.austintexas.gov/department/ricky-guerrero-splash-pad)"
"Northwest","Closed",,"Closed for Rebuild","Closed for Rebuild",,"Regional","512-453-0194","7000 Ardath St Austin TX  (30.348728787000027, -97.73985425299998)","Northwest Pool (http://www.austintexas.gov/department/northwest-pool)"
"Givens","Closed","2025 May 17 12:00:00 AM","Closed for Season","Closed for Season",,"Community","512-593-6537","3811 E 12th St Austin TX  (30.27832090800007, -97.69072592299995)","Givens Pool (http://www.austintexas.gov/department/givens-pool)"
"Barton Springs","Open","2023 Oct 01 12:00:00 AM","5:00AM-10:00PM","5:00AM-10:00PM","Thursday","Regional","512-867-3080","2131 William Barton Dr Austin TX  (30.265983430000063, -97.76862557799996)","http://www.austintexas.gov/department/barton-springs-pool"
"Dove Springs","Closed","2025 May 30 12:00:00 AM","Closed for Season","Closed for Season",,"Community","512-444-6136","5801 Ainez Dr Austin TX  (30.18812383100004, -97.73920481399995)","Dove Springs Pool (http://www.austintexas.gov/department/dove-springs-pool)"
