GEOID,NAME,NAME_clean,median_age_2024,median_household_income_final_2024_dollars,income_source,median_household_income_2024,median_household_income_2019_in_2024_dollars,B14007_017E_2024,B14007_018E_2024,GISJOIN,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOIDFQ,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Shape_Leng,Shape_Area,NAME_from_shape,NAME_clean_shape
484530013091,Block Group 1; Census Tract 13.09; Travis County; Texas,"Block Group 1, Census Tract 13.09, Travis County, Texas",35.3,148333.0,ACS 2024,148333.0,,0.0,51.0,G48045300013091,48,453,001309,1,1500000US484530013091,Block Group 1,G5030,S,391222.0,43869.0,+30.2651797,-097.7605954,2693.86430462,435090.244369,"Block Group 1, Census Tract 13.09, Travis County, Texas","Block Group 1, Census Tract 13.09, Travis County, Texas"
484530013101,Block Group 1; Census Tract 13.10; Travis County; Texas,"Block Group 1, Census Tract 13.1, Travis County, Texas",31.5,204548.0,ACS 2024,204548.0,,9.0,18.0,G48045300013101,48,453,001310,1,1500000US484530013101,Block Group 1,G5030,S,297125.0,0.0,+30.2588747,-097.7609476,2196.92400096,297124.360043,"Block Group 1, Census Tract 13.10, Travis County, Texas","Block Group 1, Census Tract 13.1, Travis County, Texas"
484530013111,Block Group 1; Census Tract 13.11; Travis County; Texas,"Block Group 1, Census Tract 13.11, Travis County, Texas",35.8,124453.0,ACS 2024,124453.0,,7.0,26.0,G48045300013111,48,453,001311,1,1500000US484530013111,Block Group 1,G5030,S,1102532.0,69152.0,+30.2582419,-097.7524205,5114.5857881,1171683.95275,"Block Group 1, Census Tract 13.11, Travis County, Texas","Block Group 1, Census Tract 13.11, Travis County, Texas"
484530013121,Block Group 1; Census Tract 13.12; Travis County; Texas,"Block Group 1, Census Tract 13.12, Travis County, Texas",37.7,124794.0,ACS 2024,124794.0,,0.0,0.0,G48045300013121,48,453,001312,1,1500000US484530013121,Block Group 1,G5030,S,598344.0,0.0,+30.2460782,-097.7620349,3234.92750642,598343.444307,"Block Group 1, Census Tract 13.12, Travis County, Texas","Block Group 1, Census Tract 13.12, Travis County, Texas"
484530014011,Block Group 1; Census Tract 14.01; Travis County; Texas,"Block Group 1, Census Tract 14.01, Travis County, Texas",38.0,152467.0,ACS 2024,152467.0,101446.44125136413,46.0,15.0,G48045300014011,48,453,001401,1,1500000US484530014011,Block Group 1,G5030,S,605876.0,0.0,+30.2451057,-097.7478799,4169.16276084,605876.525563,"Block Group 1, Census Tract 14.01, Travis County, Texas","Block Group 1, Census Tract 14.01, Travis County, Texas"
484530014021,Block Group 1; Census Tract 14.02; Travis County; Texas,"Block Group 1, Census Tract 14.02, Travis County, Texas",46.5,179831.57475445615,ACS 2019 adjusted to 2024 dollars,,179831.57475445615,26.0,14.0,G48045300014021,48,453,001402,1,1500000US484530014021,Block Group 1,G5030,S,541511.0,41612.0,+30.2464417,-097.7395444,3544.44455321,583123.671938,"Block Group 1, Census Tract 14.02, Travis County, Texas","Block Group 1, Census Tract 14.02, Travis County, Texas"
484530014031,Block Group 1; Census Tract 14.03; Travis County; Texas,"Block Group 1, Census Tract 14.03, Travis County, Texas",36.0,55268.0,ACS 2024,55268.0,79420.71444161513,24.0,24.0,G48045300014031,48,453,001403,1,1500000US484530014031,Block Group 1,G5030,S,367720.0,0.0,+30.2363404,-097.7371275,2608.26247701,367719.396215,"Block Group 1, Census Tract 14.03, Travis County, Texas","Block Group 1, Census Tract 14.03, Travis County, Texas"
484530015011,Block Group 1; Census Tract 15.01; Travis County; Texas,"Block Group 1, Census Tract 15.01, Travis County, Texas",29.7,67742.0,ACS 2024,67742.0,108246.42888323026,35.0,0.0,G48045300015011,48,453,001501,1,1500000US484530015011,Block Group 1,G5030,S,611173.0,0.0,+30.3535575,-097.7361693,3524.1494705,611174.311413,"Block Group 1, Census Tract 15.01, Travis County, Texas","Block Group 1, Census Tract 15.01, Travis County, Texas"
484530015031,Block Group 1; Census Tract 15.03; Travis County; Texas,"Block Group 1, Census Tract 15.03, Travis County, Texas",27.2,105781.0,ACS 2024,105781.0,75488.20625682066,17.0,437.0,G48045300015031,48,453,001503,1,1500000US484530015031,Block Group 1,G5030,S,652263.0,0.0,+30.3200145,-097.7195120,4298.29228732,652258.118507,"Block Group 1, Census Tract 15.03, Travis County, Texas","Block Group 1, Census Tract 15.03, Travis County, Texas"
484530015041,Block Group 1; Census Tract 15.04; Travis County; Texas,"Block Group 1, Census Tract 15.04, Travis County, Texas",30.1,104296.0,ACS 2024,104296.0,112387.52564568934,226.0,121.0,G48045300015041,48,453,001504,1,1500000US484530015041,Block Group 1,G5030,S,766406.0,0.0,+30.3455683,-097.7184735,4015.15831196,766406.856446,"Block Group 1, Census Tract 15.04, Travis County, Texas","Block Group 1, Census Tract 15.04, Travis County, Texas"
484530015051,Block Group 1; Census Tract 15.05; Travis County; Texas,"Block Group 1, Census Tract 15.05, Travis County, Texas",40.5,185938.0,ACS 2024,185938.0,131321.2335394689,0.0,21.0,G48045300015051,48,453,001505,1,1500000US484530015051,Block Group 1,G5030,S,534929.0,0.0,+30.3353845,-097.7348826,3067.14695976,534930.750577,"Block Group 1, Census Tract 15.05, Travis County, Texas","Block Group 1, Census Tract 15.05, Travis County, Texas"
484530016021,Block Group 1; Census Tract 16.02; Travis County; Texas,"Block Group 1, Census Tract 16.02, Travis County, Texas",42.2,131458.0,ACS 2024,131458.0,124693.02473626773,43.0,58.0,G48045300016021,48,453,001602,1,1500000US484530016021,Block Group 1,G5030,S,1203935.0,57799.0,+30.2900812,-097.7782019,5714.64969849,1261734.71394,"Block Group 1, Census Tract 16.02, Travis County, Texas","Block Group 1, Census Tract 16.02, Travis County, Texas"
484530016031,Block Group 1; Census Tract 16.03; Travis County; Texas,"Block Group 1, Census Tract 16.03, Travis County, Texas",35.4,212250.0,ACS 2024,212250.0,197469.57948344853,39.0,0.0,G48045300016031,48,453,001603,1,1500000US484530016031,Block Group 1,G5030,S,468548.0,0.0,+30.3022305,-097.7517021,3259.5797212,468547.443366,"Block Group 1, Census Tract 16.03, Travis County, Texas","Block Group 1, Census Tract 16.03, Travis County, Texas"
484530016041,Block Group 1; Census Tract 16.04; Travis County; Texas,"Block Group 1, Census Tract 16.04, Travis County, Texas",49.9,244375.0,ACS 2024,244375.0,225679.3441251364,15.0,10.0,G48045300016041,48,453,001604,1,1500000US484530016041,Block Group 1,G5030,S,959642.0,286342.0,+30.2992975,-097.7824293,8223.16162136,1245979.412,"Block Group 1, Census Tract 16.04, Travis County, Texas","Block Group 1, Census Tract 16.04, Travis County, Texas"
484530016051,Block Group 1; Census Tract 16.05; Travis County; Texas,"Block Group 1, Census Tract 16.05, Travis County, Texas",34.7,121296.0,ACS 2024,121296.0,221145.61004001455,162.0,0.0,G48045300016051,48,453,001605,1,1500000US484530016051,Block Group 1,G5030,S,706807.0,0.0,+30.2910250,-097.7660167,3500.79859936,706809.402296,"Block Group 1, Census Tract 16.05, Travis County, Texas","Block Group 1, Census Tract 16.05, Travis County, Texas"
484530016061,Block Group 1; Census Tract 16.06; Travis County; Texas,"Block Group 1, Census Tract 16.06, Travis County, Texas",55.7,169063.0,ACS 2024,169063.0,,1.0,19.0,G48045300016061,48,453,001606,1,1500000US484530016061,Block Group 1,G5030,S,503773.0,0.0,+30.3056732,-097.7608291,3084.02655969,503771.41043,"Block Group 1, Census Tract 16.06, Travis County, Texas","Block Group 1, Census Tract 16.06, Travis County, Texas"
484530019101,Block Group 1; Census Tract 19.10; Travis County; Texas,"Block Group 1, Census Tract 19.1, Travis County, Texas",59.8,112679.0,ACS 2024,112679.0,86273.46271371408,0.0,16.0,G48045300019101,48,453,001910,1,1500000US484530019101,Block Group 1,G5030,S,2300727.0,299970.0,+30.2888801,-097.7935550,14021.3403395,2600697.51527,"Block Group 1, Census Tract 19.10, Travis County, Texas","Block Group 1, Census Tract 19.1, Travis County, Texas"
484530019111,Block Group 1; Census Tract 19.11; Travis County; Texas,"Block Group 1, Census Tract 19.11, Travis County, Texas",30.8,117039.0,ACS 2024,117039.0,79001.08330301927,50.0,0.0,G48045300019111,48,453,001911,1,1500000US484530019111,Block Group 1,G5030,S,1363761.0,0.0,+30.2499194,-097.7969387,6593.43936086,1363762.45251,"Block Group 1, Census Tract 19.11, Travis County, Texas","Block Group 1, Census Tract 19.11, Travis County, Texas"
484530019121,Block Group 1; Census Tract 19.12; Travis County; Texas,"Block Group 1, Census Tract 19.12, Travis County, Texas",48.9,207802.0,ACS 2024,207802.0,190099.04074208802,44.0,20.0,G48045300019121,48,453,001912,1,1500000US484530019121,Block Group 1,G5030,S,10818453.0,705426.0,+30.3220747,-097.8279266,22348.8726077,11523879.4444,"Block Group 1, Census Tract 19.12, Travis County, Texas","Block Group 1, Census Tract 19.12, Travis County, Texas"
484530019131,Block Group 1; Census Tract 19.13; Travis County; Texas,"Block Group 1, Census Tract 19.13, Travis County, Texas",42.4,250001.0,ACS 2024,250001.0,252847.3928701346,38.0,37.0,G48045300019131,48,453,001913,1,1500000US484530019131,Block Group 1,G5030,S,7473242.0,0.0,+30.3185118,-097.8071485,13638.9019785,7473240.12863,"Block Group 1, Census Tract 19.13, Travis County, Texas","Block Group 1, Census Tract 19.13, Travis County, Texas"
484530019141,Block Group 1; Census Tract 19.14; Travis County; Texas,"Block Group 1, Census Tract 19.14, Travis County, Texas",50.9,180161.0,ACS 2024,180161.0,173613.18115678427,0.0,70.0,G48045300019141,48,453,001914,1,1500000US484530019141,Block Group 1,G5030,S,945309.0,0.0,+30.2478250,-097.8260227,5760.07042104,945309.235423,"Block Group 1, Census Tract 19.14, Travis County, Texas","Block Group 1, Census Tract 19.14, Travis County, Texas"
484530019151,Block Group 1; Census Tract 19.15; Travis County; Texas,"Block Group 1, Census Tract 19.15, Travis County, Texas",35.8,122688.0,ACS 2024,122688.0,83285.73808657694,82.0,101.0,G48045300019151,48,453,001915,1,1500000US484530019151,Block Group 1,G5030,S,6181361.0,0.0,+30.2405635,-097.8366971,18023.5942687,6181363.0088,"Block Group 1, Census Tract 19.15, Travis County, Texas","Block Group 1, Census Tract 19.15, Travis County, Texas"
484530019161,Block Group 1; Census Tract 19.16; Travis County; Texas,"Block Group 1, Census Tract 19.16, Travis County, Texas",43.4,250001.0,ACS 2024,250001.0,263524.6740632957,11.0,23.0,G48045300019161,48,453,001916,1,1500000US484530019161,Block Group 1,G5030,S,9071442.0,72.0,+30.3051275,-097.8926604,23609.9428595,9071514.67277,"Block Group 1, Census Tract 19.16, Travis County, Texas","Block Group 1, Census Tract 19.16, Travis County, Texas"
484530019171,Block Group 1; Census Tract 19.17; Travis County; Texas,"Block Group 1, Census Tract 19.17, Travis County, Texas",42.8,250001.0,ACS 2024,250001.0,181748.1356857039,0.0,19.0,G48045300019171,48,453,001917,1,1500000US484530019171,Block Group 1,G5030,S,1124021.0,0.0,+30.2787518,-097.8374308,4778.78018384,1124023.41601,"Block Group 1, Census Tract 19.17, Travis County, Texas","Block Group 1, Census Tract 19.17, Travis County, Texas"
484530019181,Block Group 1; Census Tract 19.18; Travis County; Texas,"Block Group 1, Census Tract 19.18, Travis County, Texas",43.5,250001.0,ACS 2024,250001.0,306749.13532193523,13.0,10.0,G48045300019181,48,453,001918,1,1500000US484530019181,Block Group 1,G5030,S,3059373.0,4044.0,+30.2998867,-097.8009244,11535.6452567,3063416.76188,"Block Group 1, Census Tract 19.18, Travis County, Texas","Block Group 1, Census Tract 19.18, Travis County, Texas"
484530019191,Block Group 1; Census Tract 19.19; Travis County; Texas,"Block Group 1, Census Tract 19.19, Travis County, Texas",46.1,234688.0,ACS 2024,234688.0,246165.19643506728,27.0,15.0,G48045300019191,48,453,001919,1,1500000US484530019191,Block Group 1,G5030,S,1542462.0,0.0,+30.2744708,-097.7861878,6036.53713722,1542461.18958,"Block Group 1, Census Tract 19.19, Travis County, Texas","Block Group 1, Census Tract 19.19, Travis County, Texas"
484530019201,Block Group 1; Census Tract 19.20; Travis County; Texas,"Block Group 1, Census Tract 19.2, Travis County, Texas",28.8,60452.0,ACS 2024,60452.0,,26.0,21.0,G48045300019201,48,453,001920,1,1500000US484530019201,Block Group 1,G5030,S,2037072.0,0.0,+30.2494198,-097.8896082,9673.23180654,2037070.93722,"Block Group 1, Census Tract 19.20, Travis County, Texas","Block Group 1, Census Tract 19.2, Travis County, Texas"
484530019211,Block Group 1; Census Tract 19.21; Travis County; Texas,"Block Group 1, Census Tract 19.21, Travis County, Texas",61.3,250001.0,ACS 2024,250001.0,,0.0,58.0,G48045300019211,48,453,001921,1,1500000US484530019211,Block Group 1,G5030,S,19388561.0,502.0,+30.2832128,-097.8826267,28896.9847349,19389065.5046,"Block Group 1, Census Tract 19.21, Travis County, Texas","Block Group 1, Census Tract 19.21, Travis County, Texas"
484530019221,Block Group 1; Census Tract 19.22; Travis County; Texas,"Block Group 1, Census Tract 19.22, Travis County, Texas",35.4,72088.0,ACS 2024,72088.0,,92.0,72.0,G48045300019221,48,453,001922,1,1500000US484530019221,Block Group 1,G5030,S,1156009.0,0.0,+30.2406956,-097.7937192,5445.26142465,1156006.12406,"Block Group 1, Census Tract 19.22, Travis County, Texas","Block Group 1, Census Tract 19.22, Travis County, Texas"
484530019231,Block Group 1; Census Tract 19.23; Travis County; Texas,"Block Group 1, Census Tract 19.23, Travis County, Texas",36.9,92763.0,ACS 2024,92763.0,,12.0,19.0,G48045300019231,48,453,001923,1,1500000US484530019231,Block Group 1,G5030,S,921624.0,0.0,+30.2600636,-097.7778863,5840.4616637,921623.743453,"Block Group 1, Census Tract 19.23, Travis County, Texas","Block Group 1, Census Tract 19.23, Travis County, Texas"
484530002031,Block Group 1; Census Tract 2.03; Travis County; Texas,"Block Group 1, Census Tract 2.03, Travis County, Texas",30.2,118971.0,ACS 2024,118971.0,91104.12877409966,17.0,81.0,G48045300002031,48,453,000203,1,1500000US484530002031,Block Group 1,G5030,S,566673.0,0.0,+30.3080669,-097.7379856,3166.96238772,566672.386571,"Block Group 1, Census Tract 2.03, Travis County, Texas","Block Group 1, Census Tract 2.03, Travis County, Texas"
484530002041,Block Group 1; Census Tract 2.04; Travis County; Texas,"Block Group 1, Census Tract 2.04, Travis County, Texas",28.1,66397.0,ACS 2024,66397.0,40545.93852309931,201.0,159.0,G48045300002041,48,453,000204,1,1500000US484530002041,Block Group 1,G5030,S,513785.0,0.0,+30.3003039,-097.7429433,2959.29852851,513785.256619,"Block Group 1, Census Tract 2.04, Travis County, Texas","Block Group 1, Census Tract 2.04, Travis County, Texas"
484530002051,Block Group 1; Census Tract 2.05; Travis County; Texas,"Block Group 1, Census Tract 2.05, Travis County, Texas",36.9,126964.0,ACS 2024,126964.0,117002.24117861039,0.0,0.0,G48045300002051,48,453,000205,1,1500000US484530002051,Block Group 1,G5030,S,437267.0,0.0,+30.3304798,-097.7364481,2724.19186957,437267.655773,"Block Group 1, Census Tract 2.05, Travis County, Texas","Block Group 1, Census Tract 2.05, Travis County, Texas"
484530002061,Block Group 1; Census Tract 2.06; Travis County; Texas,"Block Group 1, Census Tract 2.06, Travis County, Texas",44.6,109554.0,ACS 2024,109554.0,129856.20552928337,39.0,30.0,G48045300002061,48,453,000206,1,1500000US484530002061,Block Group 1,G5030,S,592717.0,0.0,+30.3202581,-097.7435341,3698.17438507,592716.649013,"Block Group 1, Census Tract 2.06, Travis County, Texas","Block Group 1, Census Tract 2.06, Travis County, Texas"
484530020021,Block Group 1; Census Tract 20.02; Travis County; Texas,"Block Group 1, Census Tract 20.02, Travis County, Texas",34.3,142560.0,ACS 2024,142560.0,88023.15278283012,30.0,13.0,G48045300020021,48,453,002002,1,1500000US484530020021,Block Group 1,G5030,S,1128454.0,0.0,+30.2239737,-097.7830380,4913.16736737,1128458.357,"Block Group 1, Census Tract 20.02, Travis County, Texas","Block Group 1, Census Tract 20.02, Travis County, Texas"
484530020031,Block Group 1; Census Tract 20.03; Travis County; Texas,"Block Group 1, Census Tract 20.03, Travis County, Texas",42.2,100938.0,ACS 2024,100938.0,80648.93306656966,37.0,15.0,G48045300020031,48,453,002003,1,1500000US484530020031,Block Group 1,G5030,S,1151904.0,0.0,+30.2192206,-097.7781233,6250.332699,1151903.88498,"Block Group 1, Census Tract 20.03, Travis County, Texas","Block Group 1, Census Tract 20.03, Travis County, Texas"
484530020041,Block Group 1; Census Tract 20.04; Travis County; Texas,"Block Group 1, Census Tract 20.04, Travis County, Texas",41.1,54105.0,ACS 2024,54105.0,71110.30010913059,96.0,0.0,G48045300020041,48,453,002004,1,1500000US484530020041,Block Group 1,G5030,S,189194.0,0.0,+30.2327030,-097.7888007,1855.62521301,189193.704757,"Block Group 1, Census Tract 20.04, Travis County, Texas","Block Group 1, Census Tract 20.04, Travis County, Texas"
484530020061,Block Group 1; Census Tract 20.06; Travis County; Texas,"Block Group 1, Census Tract 20.06, Travis County, Texas",32.3,60167.0,ACS 2024,60167.0,,76.0,13.0,G48045300020061,48,453,002006,1,1500000US484530020061,Block Group 1,G5030,S,410187.0,0.0,+30.2305719,-097.7797172,2774.3127614,410188.277266,"Block Group 1, Census Tract 20.06, Travis County, Texas","Block Group 1, Census Tract 20.06, Travis County, Texas"
484530020071,Block Group 1; Census Tract 20.07; Travis County; Texas,"Block Group 1, Census Tract 20.07, Travis County, Texas",31.3,130119.0,ACS 2024,130119.0,,0.0,28.0,G48045300020071,48,453,002007,1,1500000US484530020071,Block Group 1,G5030,S,214567.0,0.0,+30.2437223,-097.7790841,1943.37383116,214566.350007,"Block Group 1, Census Tract 20.07, Travis County, Texas","Block Group 1, Census Tract 20.07, Travis County, Texas"
484530021041,Block Group 1; Census Tract 21.04; Travis County; Texas,"Block Group 1, Census Tract 21.04, Travis County, Texas",37.0,106588.0,ACS 2024,106588.0,78268.56929792651,52.0,0.0,G48045300021041,48,453,002104,1,1500000US484530021041,Block Group 1,G5030,S,700279.0,0.0,+30.3172502,-097.6946194,3611.54792923,700278.541018,"Block Group 1, Census Tract 21.04, Travis County, Texas","Block Group 1, Census Tract 21.04, Travis County, Texas"
484530021051,Block Group 1; Census Tract 21.05; Travis County; Texas,"Block Group 1, Census Tract 21.05, Travis County, Texas",33.8,66215.83048381229,ACS 2019 adjusted to 2024 dollars,,66215.83048381229,42.0,74.0,G48045300021051,48,453,002105,1,1500000US484530021051,Block Group 1,G5030,S,525555.0,0.0,+30.3085319,-097.7034163,3451.58025144,525554.37259,"Block Group 1, Census Tract 21.05, Travis County, Texas","Block Group 1, Census Tract 21.05, Travis County, Texas"
484530021061,Block Group 1; Census Tract 21.06; Travis County; Texas,"Block Group 1, Census Tract 21.06, Travis County, Texas",50.7,44598.0,ACS 2024,44598.0,96765.46817024372,0.0,46.0,G48045300021061,48,453,002106,1,1500000US484530021061,Block Group 1,G5030,S,446384.0,0.0,+30.3113948,-097.6890435,3098.45449852,446384.124297,"Block Group 1, Census Tract 21.06, Travis County, Texas","Block Group 1, Census Tract 21.06, Travis County, Texas"
484530021071,Block Group 1; Census Tract 21.07; Travis County; Texas,"Block Group 1, Census Tract 21.07, Travis County, Texas",35.9,139605.0,ACS 2024,139605.0,71866.12695525645,19.0,13.0,G48045300021071,48,453,002107,1,1500000US484530021071,Block Group 1,G5030,S,1402932.0,0.0,+30.2896637,-097.6883221,5798.68230907,1402930.56107,"Block Group 1, Census Tract 21.07, Travis County, Texas","Block Group 1, Census Tract 21.07, Travis County, Texas"
484530021081,Block Group 1; Census Tract 21.08; Travis County; Texas,"Block Group 1, Census Tract 21.08, Travis County, Texas",27.8,89459.0,ACS 2024,89459.0,57980.26264096035,121.0,272.0,G48045300021081,48,453,002108,1,1500000US484530021081,Block Group 1,G5030,S,2484527.0,0.0,+30.2942939,-097.6707605,7673.22649698,2484529.28932,"Block Group 1, Census Tract 21.08, Travis County, Texas","Block Group 1, Census Tract 21.08, Travis County, Texas"
484530021091,Block Group 1; Census Tract 21.09; Travis County; Texas,"Block Group 1, Census Tract 21.09, Travis County, Texas",38.4,115288.0,ACS 2024,115288.0,77453.84685340124,52.0,0.0,G48045300021091,48,453,002109,1,1500000US484530021091,Block Group 1,G5030,S,856963.0,0.0,+30.2827105,-097.6997804,3903.86303716,856965.662596,"Block Group 1, Census Tract 21.09, Travis County, Texas","Block Group 1, Census Tract 21.09, Travis County, Texas"
484530021101,Block Group 1; Census Tract 21.10; Travis County; Texas,"Block Group 1, Census Tract 21.1, Travis County, Texas",37.0,127639.0,ACS 2024,127639.0,55792.53655874863,21.0,0.0,G48045300021101,48,453,002110,1,1500000US484530021101,Block Group 1,G5030,S,598312.0,0.0,+30.2689593,-097.6846525,3967.98172154,598311.431053,"Block Group 1, Census Tract 21.10, Travis County, Texas","Block Group 1, Census Tract 21.1, Travis County, Texas"
484530021111,Block Group 1; Census Tract 21.11; Travis County; Texas,"Block Group 1, Census Tract 21.11, Travis County, Texas",29.3,27532.465260094577,ACS 2019 adjusted to 2024 dollars,,27532.465260094577,93.0,0.0,G48045300021111,48,453,002111,1,1500000US484530021111,Block Group 1,G5030,S,888427.0,0.0,+30.2682835,-097.6923533,4087.94578762,888426.269738,"Block Group 1, Census Tract 21.11, Travis County, Texas","Block Group 1, Census Tract 21.11, Travis County, Texas"
484530021121,Block Group 1; Census Tract 21.12; Travis County; Texas,"Block Group 1, Census Tract 21.12, Travis County, Texas",43.9,50822.0,ACS 2024,50822.0,32745.952710076388,0.0,0.0,G48045300021121,48,453,002112,1,1500000US484530021121,Block Group 1,G5030,S,394365.0,0.0,+30.3179053,-097.6875100,3187.28607373,394363.459683,"Block Group 1, Census Tract 21.12, Travis County, Texas","Block Group 1, Census Tract 21.12, Travis County, Texas"
484530021131,Block Group 1; Census Tract 21.13; Travis County; Texas,"Block Group 1, Census Tract 21.13, Travis County, Texas",40.6,136625.0,ACS 2024,136625.0,75021.9494361586,6.0,24.0,G48045300021131,48,453,002113,1,1500000US484530021131,Block Group 1,G5030,S,604320.0,0.0,+30.3152285,-097.6678066,3268.49722161,604319.735417,"Block Group 1, Census Tract 21.13, Travis County, Texas","Block Group 1, Census Tract 21.13, Travis County, Texas"
484530022011,Block Group 1; Census Tract 22.01; Travis County; Texas,"Block Group 1, Census Tract 22.01, Travis County, Texas",29.9,86154.0,ACS 2024,86154.0,73781.46089487086,19.0,20.0,G48045300022011,48,453,002201,1,1500000US484530022011,Block Group 1,G5030,S,4030656.0,1348.0,+30.3198427,-097.6546082,8968.29438082,4032002.10407,"Block Group 1, Census Tract 22.01, Travis County, Texas","Block Group 1, Census Tract 22.01, Travis County, Texas"
