GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSA,ANRCA,CBSAA,CSAA,METDIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEO_ID,BTTRA,BTBGA,TL_GEO_ID,NAME_E,AUUDE001,AUUDE002,AUUDE003,NAME_M,AUUDM001,AUUDM002,AUUDM003
"G48000109506002","2020-2024","TX",,,"Texas","48","Anderson County","001",,,"950600","2",,,,,,,,,,,,,,,,,,,,,,"1500000US480019506002",,,"480019506002","Block Group 2, Census Tract 9506, Anderson County, Texas",781,781,0,"Block Group 2, Census Tract 9506, Anderson County, Texas",348,348,15
"G48000109506003","2020-2024","TX",,,"Texas","48","Anderson County","001",,,"950600","3",,,,,,,,,,,,,,,,,,,,,,"1500000US480019506003",,,"480019506003","Block Group 3, Census Tract 9506, Anderson County, Texas",552,385,167,"Block Group 3, Census Tract 9506, Anderson County, Texas",193,144,122
"G48000109506004","2020-2024","TX",,,"Texas","48","Anderson County","001",,,"950600","4",,,,,,,,,,,,,,,,,,,,,,"1500000US480019506004",,,"480019506004","Block Group 4, Census Tract 9506, Anderson County, Texas",416,305,111,"Block Group 4, Census Tract 9506, Anderson County, Texas",183,138,111
"G48000109507001","2020-2024","TX",,,"Texas","48","Anderson County","001",,,"950700","1",,,,,,,,,,,,,,,,,,,,,,"1500000US480019507001",,,"480019507001","Block Group 1, Census Tract 9507, Anderson County, Texas",369,305,64,"Block Group 1, Census Tract 9507, Anderson County, Texas",97,100,46
"G48000109507002","2020-2024","TX",,,"Texas","48","Anderson County","001",,,"950700","2",,,,,,,,,,,,,,,,,,,,,,"1500000US480019507002",,,"480019507002","Block Group 2, Census Tract 9507, Anderson County, Texas",233,116,117,"Block Group 2, Census Tract 9507, Anderson County, Texas",78,59,67
"G48000109507003","2020-2024","TX",,,"Texas","48","Anderson County","001",,,"950700","3",,,,,,,,,,,,,,,,,,,,,,"1500000US480019507003",,,"480019507003","Block Group 3, Census Tract 9507, Anderson County, Texas",366,230,136,"Block Group 3, Census Tract 9507, Anderson County, Texas",107,102,67
"G48000109508001","2020-2024","TX",,,"Texas","48","Anderson County","001",,,"950800","1",,,,,,,,,,,,,,,,,,,,,,"1500000US480019508001",,,"480019508001","Block Group 1, Census Tract 9508, Anderson County, Texas",884,815,69,"Block Group 1, Census Tract 9508, Anderson County, Texas",513,513,106
"G48000109508002","2020-2024","TX",,,"Texas","48","Anderson County","001",,,"950800","2",,,,,,,,,,,,,,,,,,,,,,"1500000US480019508002",,,"480019508002","Block Group 2, Census Tract 9508, Anderson County, Texas",617,544,73,"Block Group 2, Census Tract 9508, Anderson County, Texas",209,201,113
"G48000109508003","2020-2024","TX",,,"Texas","48","Anderson County","001",,,"950800","3",,,,,,,,,,,,,,,,,,,,,,"1500000US480019508003",,,"480019508003","Block Group 3, Census Tract 9508, Anderson County, Texas",564,512,52,"Block Group 3, Census Tract 9508, Anderson County, Texas",245,228,85
"G48000109508004","2020-2024","TX",,,"Texas","48","Anderson County","001",,,"950800","4",,,,,,,,,,,,,,,,,,,,,,"1500000US480019508004",,,"480019508004","Block Group 4, Census Tract 9508, Anderson County, Texas",210,210,0,"Block Group 4, Census Tract 9508, Anderson County, Texas",144,144,15
"G48000109508005","2020-2024","TX",,,"Texas","48","Anderson County","001",,,"950800","5",,,,,,,,,,,,,,,,,,,,,,"1500000US480019508005",,,"480019508005","Block Group 5, Census Tract 9508, Anderson County, Texas",282,282,0,"Block Group 5, Census Tract 9508, Anderson County, Texas",109,109,15
"G48000109509011","2020-2024","TX",,,"Texas","48","Anderson County","001",,,"950901","1",,,,,,,,,,,,,,,,,,,,,,"1500000US480019509011",,,"480019509011","Block Group 1, Census Tract 9509.01, Anderson County, Texas",518,470,48,"Block Group 1, Census Tract 9509.01, Anderson County, Texas",229,236,74
"G48000109509012","2020-2024","TX",,,"Texas","48","Anderson County","001",,,"950901","2",,,,,,,,,,,,,,,,,,,,,,"1500000US480019509012",,,"480019509012","Block Group 2, Census Tract 9509.01, Anderson County, Texas",392,312,80,"Block Group 2, Census Tract 9509.01, Anderson County, Texas",148,125,83
"G48000109509013","2020-2024","TX",,,"Texas","48","Anderson County","001",,,"950901","3",,,,,,,,,,,,,,,,,,,,,,"1500000US480019509013",,,"480019509013","Block Group 3, Census Tract 9509.01, Anderson County, Texas",458,407,51,"Block Group 3, Census Tract 9509.01, Anderson County, Texas",194,180,81
"G48000109509014","2020-2024","TX",,,"Texas","48","Anderson County","001",,,"950901","4",,,,,,,,,,,,,,,,,,,,,,"1500000US480019509014",,,"480019509014","Block Group 4, Census Tract 9509.01, Anderson County, Texas",973,781,192,"Block Group 4, Census Tract 9509.01, Anderson County, Texas",285,252,160
"G48000109509021","2020-2024","TX",,,"Texas","48","Anderson County","001",,,"950902","1",,,,,,,,,,,,,,,,,,,,,,"1500000US480019509021",,,"480019509021","Block Group 1, Census Tract 9509.02, Anderson County, Texas",383,346,37,"Block Group 1, Census Tract 9509.02, Anderson County, Texas",129,109,60
"G48000109509022","2020-2024","TX",,,"Texas","48","Anderson County","001",,,"950902","2",,,,,,,,,,,,,,,,,,,,,,"1500000US480019509022",,,"480019509022","Block Group 2, Census Tract 9509.02, Anderson County, Texas",1170,930,240,"Block Group 2, Census Tract 9509.02, Anderson County, Texas",375,381,126
"G48000109509023","2020-2024","TX",,,"Texas","48","Anderson County","001",,,"950902","3",,,,,,,,,,,,,,,,,,,,,,"1500000US480019509023",,,"480019509023","Block Group 3, Census Tract 9509.02, Anderson County, Texas",381,364,17,"Block Group 3, Census Tract 9509.02, Anderson County, Texas",136,129,29
"G48000109509024","2020-2024","TX",,,"Texas","48","Anderson County","001",,,"950902","4",,,,,,,,,,,,,,,,,,,,,,"1500000US480019509024",,,"480019509024","Block Group 4, Census Tract 9509.02, Anderson County, Texas",695,646,49,"Block Group 4, Census Tract 9509.02, Anderson County, Texas",286,279,66
"G48000109510011","2020-2024","TX",,,"Texas","48","Anderson County","001",,,"951001","1",,,,,,,,,,,,,,,,,,,,,,"1500000US480019510011",,,"480019510011","Block Group 1, Census Tract 9510.01, Anderson County, Texas",579,442,137,"Block Group 1, Census Tract 9510.01, Anderson County, Texas",130,104,102
"G48000109510012","2020-2024","TX",,,"Texas","48","Anderson County","001",,,"951001","2",,,,,,,,,,,,,,,,,,,,,,"1500000US480019510012",,,"480019510012","Block Group 2, Census Tract 9510.01, Anderson County, Texas",1142,1031,111,"Block Group 2, Census Tract 9510.01, Anderson County, Texas",205,208,86
"G48000109510021","2020-2024","TX",,,"Texas","48","Anderson County","001",,,"951002","1",,,,,,,,,,,,,,,,,,,,,,"1500000US480019510021",,,"480019510021","Block Group 1, Census Tract 9510.02, Anderson County, Texas",242,223,19,"Block Group 1, Census Tract 9510.02, Anderson County, Texas",96,95,32
"G48000109510022","2020-2024","TX",,,"Texas","48","Anderson County","001",,,"951002","2",,,,,,,,,,,,,,,,,,,,,,"1500000US480019510022",,,"480019510022","Block Group 2, Census Tract 9510.02, Anderson County, Texas",664,546,118,"Block Group 2, Census Tract 9510.02, Anderson County, Texas",224,213,128
"G48000109510023","2020-2024","TX",,,"Texas","48","Anderson County","001",,,"951002","3",,,,,,,,,,,,,,,,,,,,,,"1500000US480019510023",,,"480019510023","Block Group 3, Census Tract 9510.02, Anderson County, Texas",332,308,24,"Block Group 3, Census Tract 9510.02, Anderson County, Texas",90,90,28
"G48000109510024","2020-2024","TX",,,"Texas","48","Anderson County","001",,,"951002","4",,,,,,,,,,,,,,,,,,,,,,"1500000US480019510024",,,"480019510024","Block Group 4, Census Tract 9510.02, Anderson County, Texas",335,323,12,"Block Group 4, Census Tract 9510.02, Anderson County, Texas",113,112,23
"G48000109511001","2020-2024","TX",,,"Texas","48","Anderson County","001",,,"951100","1",,,,,,,,,,,,,,,,,,,,,,"1500000US480019511001",,,"480019511001","Block Group 1, Census Tract 9511, Anderson County, Texas",948,678,270,"Block Group 1, Census Tract 9511, Anderson County, Texas",197,156,125
"G48000109511002","2020-2024","TX",,,"Texas","48","Anderson County","001",,,"951100","2",,,,,,,,,,,,,,,,,,,,,,"1500000US480019511002",,,"480019511002","Block Group 2, Census Tract 9511, Anderson County, Texas",453,390,63,"Block Group 2, Census Tract 9511, Anderson County, Texas",194,194,59
"G48000109511003","2020-2024","TX",,,"Texas","48","Anderson County","001",,,"951100","3",,,,,,,,,,,,,,,,,,,,,,"1500000US480019511003",,,"480019511003","Block Group 3, Census Tract 9511, Anderson County, Texas",482,326,156,"Block Group 3, Census Tract 9511, Anderson County, Texas",160,88,121
"G48000109511004","2020-2024","TX",,,"Texas","48","Anderson County","001",,,"951100","4",,,,,,,,,,,,,,,,,,,,,,"1500000US480019511004",,,"480019511004","Block Group 4, Census Tract 9511, Anderson County, Texas",595,392,203,"Block Group 4, Census Tract 9511, Anderson County, Texas",185,174,106
"G48000309501001","2020-2024","TX",,,"Texas","48","Andrews County","003",,,"950100","1",,,,,,,,,,,,,,,,,,,,,,"1500000US480039501001",,,"480039501001","Block Group 1, Census Tract 9501, Andrews County, Texas",883,840,43,"Block Group 1, Census Tract 9501, Andrews County, Texas",151,156,52
"G48000309502001","2020-2024","TX",,,"Texas","48","Andrews County","003",,,"950200","1",,,,,,,,,,,,,,,,,,,,,,"1500000US480039502001",,,"480039502001","Block Group 1, Census Tract 9502, Andrews County, Texas",422,422,0,"Block Group 1, Census Tract 9502, Andrews County, Texas",180,180,15
"G48000309502002","2020-2024","TX",,,"Texas","48","Andrews County","003",,,"950200","2",,,,,,,,,,,,,,,,,,,,,,"1500000US480039502002",,,"480039502002","Block Group 2, Census Tract 9502, Andrews County, Texas",330,330,0,"Block Group 2, Census Tract 9502, Andrews County, Texas",159,159,15
"G48000309502003","2020-2024","TX",,,"Texas","48","Andrews County","003",,,"950200","3",,,,,,,,,,,,,,,,,,,,,,"1500000US480039502003",,,"480039502003","Block Group 3, Census Tract 9502, Andrews County, Texas",882,882,0,"Block Group 3, Census Tract 9502, Andrews County, Texas",293,293,15
"G48000309502004","2020-2024","TX",,,"Texas","48","Andrews County","003",,,"950200","4",,,,,,,,,,,,,,,,,,,,,,"1500000US480039502004",,,"480039502004","Block Group 4, Census Tract 9502, Andrews County, Texas",449,449,0,"Block Group 4, Census Tract 9502, Andrews County, Texas",168,168,15
"G48000309502005","2020-2024","TX",,,"Texas","48","Andrews County","003",,,"950200","5",,,,,,,,,,,,,,,,,,,,,,"1500000US480039502005",,,"480039502005","Block Group 5, Census Tract 9502, Andrews County, Texas",294,294,0,"Block Group 5, Census Tract 9502, Andrews County, Texas",129,129,15
"G48000309502006","2020-2024","TX",,,"Texas","48","Andrews County","003",,,"950200","6",,,,,,,,,,,,,,,,,,,,,,"1500000US480039502006",,,"480039502006","Block Group 6, Census Tract 9502, Andrews County, Texas",285,285,0,"Block Group 6, Census Tract 9502, Andrews County, Texas",108,108,15
"G48000309503001","2020-2024","TX",,,"Texas","48","Andrews County","003",,,"950300","1",,,,,,,,,,,,,,,,,,,,,,"1500000US480039503001",,,"480039503001","Block Group 1, Census Tract 9503, Andrews County, Texas",868,824,44,"Block Group 1, Census Tract 9503, Andrews County, Texas",210,211,35
"G48000309503002","2020-2024","TX",,,"Texas","48","Andrews County","003",,,"950300","2",,,,,,,,,,,,,,,,,,,,,,"1500000US480039503002",,,"480039503002","Block Group 2, Census Tract 9503, Andrews County, Texas",940,900,40,"Block Group 2, Census Tract 9503, Andrews County, Texas",241,242,63
"G48000309503003","2020-2024","TX",,,"Texas","48","Andrews County","003",,,"950300","3",,,,,,,,,,,,,,,,,,,,,,"1500000US480039503003",,,"480039503003","Block Group 3, Census Tract 9503, Andrews County, Texas",256,198,58,"Block Group 3, Census Tract 9503, Andrews County, Texas",124,110,67
"G48000309504001","2020-2024","TX",,,"Texas","48","Andrews County","003",,,"950400","1",,,,,,,,,,,,,,,,,,,,,,"1500000US480039504001",,,"480039504001","Block Group 1, Census Tract 9504, Andrews County, Texas",1025,957,68,"Block Group 1, Census Tract 9504, Andrews County, Texas",228,220,74
"G48000309504002","2020-2024","TX",,,"Texas","48","Andrews County","003",,,"950400","2",,,,,,,,,,,,,,,,,,,,,,"1500000US480039504002",,,"480039504002","Block Group 2, Census Tract 9504, Andrews County, Texas",519,463,56,"Block Group 2, Census Tract 9504, Andrews County, Texas",207,199,63
"G48000500001021","2020-2024","TX",,,"Texas","48","Angelina County","005",,,"000102","1",,,,,,,,,,,,,,,,,,,,,,"1500000US480050001021",,,"480050001021","Block Group 1, Census Tract 1.02, Angelina County, Texas",673,666,7,"Block Group 1, Census Tract 1.02, Angelina County, Texas",320,320,12
"G48000500001022","2020-2024","TX",,,"Texas","48","Angelina County","005",,,"000102","2",,,,,,,,,,,,,,,,,,,,,,"1500000US480050001022",,,"480050001022","Block Group 2, Census Tract 1.02, Angelina County, Texas",888,745,143,"Block Group 2, Census Tract 1.02, Angelina County, Texas",203,199,94
"G48000500001023","2020-2024","TX",,,"Texas","48","Angelina County","005",,,"000102","3",,,,,,,,,,,,,,,,,,,,,,"1500000US480050001023",,,"480050001023","Block Group 3, Census Tract 1.02, Angelina County, Texas",668,608,60,"Block Group 3, Census Tract 1.02, Angelina County, Texas",187,185,67
"G48000500001031","2020-2024","TX",,,"Texas","48","Angelina County","005",,,"000103","1",,,,,,,,,,,,,,,,,,,,,,"1500000US480050001031",,,"480050001031","Block Group 1, Census Tract 1.03, Angelina County, Texas",638,570,68,"Block Group 1, Census Tract 1.03, Angelina County, Texas",170,150,79
"G48000500001032","2020-2024","TX",,,"Texas","48","Angelina County","005",,,"000103","2",,,,,,,,,,,,,,,,,,,,,,"1500000US480050001032",,,"480050001032","Block Group 2, Census Tract 1.03, Angelina County, Texas",495,495,0,"Block Group 2, Census Tract 1.03, Angelina County, Texas",159,159,15
"G48000500001041","2020-2024","TX",,,"Texas","48","Angelina County","005",,,"000104","1",,,,,,,,,,,,,,,,,,,,,,"1500000US480050001041",,,"480050001041","Block Group 1, Census Tract 1.04, Angelina County, Texas",278,232,46,"Block Group 1, Census Tract 1.04, Angelina County, Texas",108,98,47
"G48000500001042","2020-2024","TX",,,"Texas","48","Angelina County","005",,,"000104","2",,,,,,,,,,,,,,,,,,,,,,"1500000US480050001042",,,"480050001042","Block Group 2, Census Tract 1.04, Angelina County, Texas",1011,884,127,"Block Group 2, Census Tract 1.04, Angelina County, Texas",230,220,115
"G48000500002011","2020-2024","TX",,,"Texas","48","Angelina County","005",,,"000201","1",,,,,,,,,,,,,,,,,,,,,,"1500000US480050002011",,,"480050002011","Block Group 1, Census Tract 2.01, Angelina County, Texas",333,300,33,"Block Group 1, Census Tract 2.01, Angelina County, Texas",134,133,52
"G48000500002012","2020-2024","TX",,,"Texas","48","Angelina County","005",,,"000201","2",,,,,,,,,,,,,,,,,,,,,,"1500000US480050002012",,,"480050002012","Block Group 2, Census Tract 2.01, Angelina County, Texas",260,260,0,"Block Group 2, Census Tract 2.01, Angelina County, Texas",106,106,15
"G48000500002013","2020-2024","TX",,,"Texas","48","Angelina County","005",,,"000201","3",,,,,,,,,,,,,,,,,,,,,,"1500000US480050002013",,,"480050002013","Block Group 3, Census Tract 2.01, Angelina County, Texas",616,584,32,"Block Group 3, Census Tract 2.01, Angelina County, Texas",142,141,52
"G48000500002021","2020-2024","TX",,,"Texas","48","Angelina County","005",,,"000202","1",,,,,,,,,,,,,,,,,,,,,,"1500000US480050002021",,,"480050002021","Block Group 1, Census Tract 2.02, Angelina County, Texas",468,380,88,"Block Group 1, Census Tract 2.02, Angelina County, Texas",148,149,77
"G48000500002022","2020-2024","TX",,,"Texas","48","Angelina County","005",,,"000202","2",,,,,,,,,,,,,,,,,,,,,,"1500000US480050002022",,,"480050002022","Block Group 2, Census Tract 2.02, Angelina County, Texas",300,300,0,"Block Group 2, Census Tract 2.02, Angelina County, Texas",132,132,15
"G48000500002023","2020-2024","TX",,,"Texas","48","Angelina County","005",,,"000202","3",,,,,,,,,,,,,,,,,,,,,,"1500000US480050002023",,,"480050002023","Block Group 3, Census Tract 2.02, Angelina County, Texas",332,332,0,"Block Group 3, Census Tract 2.02, Angelina County, Texas",106,106,15
"G48000500003011","2020-2024","TX",,,"Texas","48","Angelina County","005",,,"000301","1",,,,,,,,,,,,,,,,,,,,,,"1500000US480050003011",,,"480050003011","Block Group 1, Census Tract 3.01, Angelina County, Texas",900,834,66,"Block Group 1, Census Tract 3.01, Angelina County, Texas",230,223,75
"G48000500003012","2020-2024","TX",,,"Texas","48","Angelina County","005",,,"000301","2",,,,,,,,,,,,,,,,,,,,,,"1500000US480050003012",,,"480050003012","Block Group 2, Census Tract 3.01, Angelina County, Texas",581,503,78,"Block Group 2, Census Tract 3.01, Angelina County, Texas",179,164,92
"G48000500003013","2020-2024","TX",,,"Texas","48","Angelina County","005",,,"000301","3",,,,,,,,,,,,,,,,,,,,,,"1500000US480050003013",,,"480050003013","Block Group 3, Census Tract 3.01, Angelina County, Texas",821,784,37,"Block Group 3, Census Tract 3.01, Angelina County, Texas",220,216,59
"G48000500003021","2020-2024","TX",,,"Texas","48","Angelina County","005",,,"000302","1",,,,,,,,,,,,,,,,,,,,,,"1500000US480050003021",,,"480050003021","Block Group 1, Census Tract 3.02, Angelina County, Texas",751,650,101,"Block Group 1, Census Tract 3.02, Angelina County, Texas",214,178,106
"G48000500003022","2020-2024","TX",,,"Texas","48","Angelina County","005",,,"000302","2",,,,,,,,,,,,,,,,,,,,,,"1500000US480050003022",,,"480050003022","Block Group 2, Census Tract 3.02, Angelina County, Texas",732,732,0,"Block Group 2, Census Tract 3.02, Angelina County, Texas",187,187,15
"G48000500003023","2020-2024","TX",,,"Texas","48","Angelina County","005",,,"000302","3",,,,,,,,,,,,,,,,,,,,,,"1500000US480050003023",,,"480050003023","Block Group 3, Census Tract 3.02, Angelina County, Texas",279,279,0,"Block Group 3, Census Tract 3.02, Angelina County, Texas",129,129,15
"G48000500003024","2020-2024","TX",,,"Texas","48","Angelina County","005",,,"000302","4",,,,,,,,,,,,,,,,,,,,,,"1500000US480050003024",,,"480050003024","Block Group 4, Census Tract 3.02, Angelina County, Texas",585,585,0,"Block Group 4, Census Tract 3.02, Angelina County, Texas",212,212,15
"G48000500004001","2020-2024","TX",,,"Texas","48","Angelina County","005",,,"000400","1",,,,,,,,,,,,,,,,,,,,,,"1500000US480050004001",,,"480050004001","Block Group 1, Census Tract 4, Angelina County, Texas",182,126,56,"Block Group 1, Census Tract 4, Angelina County, Texas",118,93,89
"G48000500004002","2020-2024","TX",,,"Texas","48","Angelina County","005",,,"000400","2",,,,,,,,,,,,,,,,,,,,,,"1500000US480050004002",,,"480050004002","Block Group 2, Census Tract 4, Angelina County, Texas",1111,973,138,"Block Group 2, Census Tract 4, Angelina County, Texas",308,307,120
"G48000500004003","2020-2024","TX",,,"Texas","48","Angelina County","005",,,"000400","3",,,,,,,,,,,,,,,,,,,,,,"1500000US480050004003",,,"480050004003","Block Group 3, Census Tract 4, Angelina County, Texas",583,460,123,"Block Group 3, Census Tract 4, Angelina County, Texas",184,160,131
"G48000500004004","2020-2024","TX",,,"Texas","48","Angelina County","005",,,"000400","4",,,,,,,,,,,,,,,,,,,,,,"1500000US480050004004",,,"480050004004","Block Group 4, Census Tract 4, Angelina County, Texas",444,396,48,"Block Group 4, Census Tract 4, Angelina County, Texas",172,154,76
"G48000500005001","2020-2024","TX",,,"Texas","48","Angelina County","005",,,"000500","1",,,,,,,,,,,,,,,,,,,,,,"1500000US480050005001",,,"480050005001","Block Group 1, Census Tract 5, Angelina County, Texas",337,273,64,"Block Group 1, Census Tract 5, Angelina County, Texas",101,100,50
"G48000500005002","2020-2024","TX",,,"Texas","48","Angelina County","005",,,"000500","2",,,,,,,,,,,,,,,,,,,,,,"1500000US480050005002",,,"480050005002","Block Group 2, Census Tract 5, Angelina County, Texas",637,555,82,"Block Group 2, Census Tract 5, Angelina County, Texas",179,165,72
"G48000500005003","2020-2024","TX",,,"Texas","48","Angelina County","005",,,"000500","3",,,,,,,,,,,,,,,,,,,,,,"1500000US480050005003",,,"480050005003","Block Group 3, Census Tract 5, Angelina County, Texas",258,169,89,"Block Group 3, Census Tract 5, Angelina County, Texas",98,71,76
"G48000500005004","2020-2024","TX",,,"Texas","48","Angelina County","005",,,"000500","4",,,,,,,,,,,,,,,,,,,,,,"1500000US480050005004",,,"480050005004","Block Group 4, Census Tract 5, Angelina County, Texas",322,322,0,"Block Group 4, Census Tract 5, Angelina County, Texas",124,124,15
"G48000500006001","2020-2024","TX",,,"Texas","48","Angelina County","005",,,"000600","1",,,,,,,,,,,,,,,,,,,,,,"1500000US480050006001",,,"480050006001","Block Group 1, Census Tract 6, Angelina County, Texas",375,312,63,"Block Group 1, Census Tract 6, Angelina County, Texas",114,98,59
"G48000500006002","2020-2024","TX",,,"Texas","48","Angelina County","005",,,"000600","2",,,,,,,,,,,,,,,,,,,,,,"1500000US480050006002",,,"480050006002","Block Group 2, Census Tract 6, Angelina County, Texas",468,468,0,"Block Group 2, Census Tract 6, Angelina County, Texas",190,190,15
"G48000500006003","2020-2024","TX",,,"Texas","48","Angelina County","005",,,"000600","3",,,,,,,,,,,,,,,,,,,,,,"1500000US480050006003",,,"480050006003","Block Group 3, Census Tract 6, Angelina County, Texas",602,563,39,"Block Group 3, Census Tract 6, Angelina County, Texas",146,145,36
"G48000500006004","2020-2024","TX",,,"Texas","48","Angelina County","005",,,"000600","4",,,,,,,,,,,,,,,,,,,,,,"1500000US480050006004",,,"480050006004","Block Group 4, Census Tract 6, Angelina County, Texas",523,407,116,"Block Group 4, Census Tract 6, Angelina County, Texas",169,156,91
"G48000500007001","2020-2024","TX",,,"Texas","48","Angelina County","005",,,"000700","1",,,,,,,,,,,,,,,,,,,,,,"1500000US480050007001",,,"480050007001","Block Group 1, Census Tract 7, Angelina County, Texas",542,529,13,"Block Group 1, Census Tract 7, Angelina County, Texas",197,194,20
"G48000500007002","2020-2024","TX",,,"Texas","48","Angelina County","005",,,"000700","2",,,,,,,,,,,,,,,,,,,,,,"1500000US480050007002",,,"480050007002","Block Group 2, Census Tract 7, Angelina County, Texas",151,105,46,"Block Group 2, Census Tract 7, Angelina County, Texas",75,58,60
"G48000500007003","2020-2024","TX",,,"Texas","48","Angelina County","005",,,"000700","3",,,,,,,,,,,,,,,,,,,,,,"1500000US480050007003",,,"480050007003","Block Group 3, Census Tract 7, Angelina County, Texas",517,459,58,"Block Group 3, Census Tract 7, Angelina County, Texas",155,146,66
"G48000500008001","2020-2024","TX",,,"Texas","48","Angelina County","005",,,"000800","1",,,,,,,,,,,,,,,,,,,,,,"1500000US480050008001",,,"480050008001","Block Group 1, Census Tract 8, Angelina County, Texas",354,314,40,"Block Group 1, Census Tract 8, Angelina County, Texas",127,134,64
"G48000500008002","2020-2024","TX",,,"Texas","48","Angelina County","005",,,"000800","2",,,,,,,,,,,,,,,,,,,,,,"1500000US480050008002",,,"480050008002","Block Group 2, Census Tract 8, Angelina County, Texas",526,478,48,"Block Group 2, Census Tract 8, Angelina County, Texas",173,184,84
"G48000500008003","2020-2024","TX",,,"Texas","48","Angelina County","005",,,"000800","3",,,,,,,,,,,,,,,,,,,,,,"1500000US480050008003",,,"480050008003","Block Group 3, Census Tract 8, Angelina County, Texas",347,298,49,"Block Group 3, Census Tract 8, Angelina County, Texas",124,108,76
"G48000500008004","2020-2024","TX",,,"Texas","48","Angelina County","005",,,"000800","4",,,,,,,,,,,,,,,,,,,,,,"1500000US480050008004",,,"480050008004","Block Group 4, Census Tract 8, Angelina County, Texas",576,558,18,"Block Group 4, Census Tract 8, Angelina County, Texas",195,192,29
"G48000500008005","2020-2024","TX",,,"Texas","48","Angelina County","005",,,"000800","5",,,,,,,,,,,,,,,,,,,,,,"1500000US480050008005",,,"480050008005","Block Group 5, Census Tract 8, Angelina County, Texas",547,547,0,"Block Group 5, Census Tract 8, Angelina County, Texas",179,179,15
